CPUID:,0x600F12
Processor:,AMD FX-6100 Six-Core (Zambezi) 
Platform:,Socket AM3+ (942 pin)
Revision:,OR-B2
Lithography:,32nm

Session start:,01:15:54 - April 02 - 2016

Time,Core 0 Temp. (°),Core 1 Temp. (°),Core 2 Temp. (°),Core 3 Temp. (°),Core 4 Temp. (°),Core 5 Temp. (°),,Core 0,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 1,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 2,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 3,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 4,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 5,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),
01:22:54 04/02/16,66,66,66,66,66,66,,,57,69,0,3606.17,,57,69,49,3305.65,,57,69,63,3606.17,,57,69,0,3606.17,,57,69,17,3606.17,,57,69,0,3606.17,
01:23:04 04/02/16,67,67,67,67,67,67,,,57,69,46,3305.65,,57,69,62,3305.65,,57,69,81,3305.65,,57,69,6,3305.65,,57,69,31,3305.65,,57,69,0,3305.65,
01:23:14 04/02/16,67,67,67,67,67,67,,,57,69,55,3606.17,,57,69,23,3606.17,,57,69,62,3606.17,,57,69,0,3606.17,,57,69,23,3606.17,,57,69,0,3606.17,
01:23:24 04/02/16,68,68,68,68,68,68,,,57,69,51,3305.65,,57,69,85,3606.17,,57,69,83,3606.17,,57,69,0,3305.65,,57,69,48,3305.65,,57,69,0,3305.65,
01:23:34 04/02/16,69,69,69,69,69,69,,,57,69,59,3305.65,,57,69,72,3606.17,,57,69,71,3305.65,,57,69,0,3305.65,,57,69,49,3305.65,,57,69,5,3305.65,
01:23:44 04/02/16,61,61,61,61,61,61,,,57,69,63,1402.40,,57,69,83,1402.40,,57,69,74,1402.40,,57,69,33,1402.40,,57,69,59,1402.40,,57,69,2,1402.40,
01:23:54 04/02/16,67,67,67,67,67,67,,,57,69,34,3305.65,,57,69,63,3305.65,,57,69,79,3305.65,,57,69,20,3606.17,,57,69,66,3305.65,,57,69,0,3606.17,
01:24:04 04/02/16,64,64,64,64,64,64,,,57,69,57,1402.40,,57,69,70,1402.40,,57,69,89,1402.40,,57,69,34,1402.40,,57,69,48,1402.40,,57,69,53,1402.40,
01:24:14 04/02/16,67,67,67,67,67,67,,,57,69,41,3606.17,,57,69,72,3606.17,,57,69,78,3606.17,,57,69,26,3305.65,,57,69,60,3305.65,,57,69,2,3305.65,
01:24:24 04/02/16,68,68,68,68,68,68,,,57,69,54,3606.17,,57,69,82,3305.65,,57,69,79,3305.65,,57,69,8,3305.65,,57,69,52,3305.65,,57,69,2,3305.65,
01:24:34 04/02/16,67,67,67,67,67,67,,,57,69,35,3606.17,,57,69,83,3606.17,,57,69,71,3305.65,,57,69,21,3305.65,,57,69,62,3606.17,,57,69,0,3606.17,
01:24:44 04/02/16,68,68,68,68,68,68,,,57,69,53,3606.17,,57,69,60,3606.17,,57,69,76,3305.65,,57,69,0,3305.65,,57,69,0,3305.65,,57,69,27,3305.65,
01:24:54 04/02/16,67,67,67,67,67,67,,,57,69,43,3606.17,,57,69,0,3606.17,,57,69,55,3606.17,,57,69,0,3606.17,,57,69,0,3606.17,,57,69,7,3305.65,
01:25:04 04/02/16,67,67,67,67,67,67,,,57,69,88,3606.17,,57,69,0,3606.17,,57,69,37,3305.65,,57,69,0,3305.65,,57,69,0,3305.65,,57,69,33,3305.65,
01:25:14 04/02/16,66,66,66,66,66,66,,,57,69,67,3305.65,,57,69,40,3305.65,,57,69,54,3606.17,,57,69,4,3606.17,,57,69,0,3606.17,,57,69,25,3606.17,
01:25:24 04/02/16,68,68,68,68,68,68,,,57,69,83,3606.17,,57,69,0,3606.17,,57,69,41,3606.17,,57,69,0,3606.17,,57,69,0,3606.17,,57,69,21,3305.65,
01:25:34 04/02/16,66,66,66,66,66,66,,,57,69,66,3606.17,,57,69,0,3305.65,,57,69,59,3305.65,,57,69,0,3606.17,,57,69,0,3606.17,,57,69,26,3606.17,
01:25:44 04/02/16,68,68,68,68,68,68,,,57,69,81,3606.17,,57,69,0,3305.65,,57,69,86,3305.65,,57,69,0,3606.17,,57,69,0,3606.17,,57,69,23,3606.17,
01:25:54 04/02/16,68,68,68,68,68,68,,,57,69,49,1402.40,,57,69,78,1402.40,,57,69,73,3305.65,,57,69,0,3305.65,,57,69,1,3305.65,,57,69,28,3305.65,
01:26:04 04/02/16,67,67,67,67,67,67,,,57,69,74,1402.40,,57,69,51,1402.40,,57,69,85,1402.40,,57,69,12,3606.17,,57,69,0,3606.17,,57,69,57,3606.17,
01:26:14 04/02/16,68,68,68,68,68,68,,,57,69,60,3305.65,,57,69,85,3305.65,,57,69,78,3305.65,,57,69,2,3606.17,,57,69,0,3606.17,,57,69,46,3606.17,
01:26:24 04/02/16,68,68,68,68,68,68,,,57,69,69,3606.17,,57,69,78,3305.65,,57,69,77,3305.65,,57,69,0,3305.65,,57,69,0,3305.65,,57,69,60,3606.17,
01:26:34 04/02/16,60,60,60,60,60,60,,,57,69,54,1402.40,,57,69,71,1402.40,,57,69,86,1402.40,,57,69,31,1402.40,,57,69,30,1402.40,,57,69,54,1402.40,
01:26:44 04/02/16,69,69,69,69,69,69,,,57,69,63,3305.65,,57,69,85,3305.65,,57,69,78,3305.65,,57,69,0,3305.65,,57,69,57,3305.65,,57,69,3,3606.17,
01:26:54 04/02/16,64,64,64,64,64,64,,,57,69,71,1402.40,,57,69,86,1402.40,,57,69,83,1402.40,,57,69,49,1402.40,,57,69,64,1402.40,,57,69,0,1402.40,
01:27:04 04/02/16,66,66,66,66,66,66,,,57,69,47,3606.17,,57,69,78,3606.17,,57,69,71,3606.17,,57,69,23,3606.17,,57,69,68,3606.17,,57,69,0,3606.17,
01:27:14 04/02/16,68,68,68,68,68,68,,,57,69,65,3305.65,,57,69,89,3305.65,,57,69,72,3305.65,,57,69,6,3606.17,,57,69,60,3305.65,,57,69,3,3305.65,
01:27:24 04/02/16,64,64,64,64,64,64,,,57,69,45,3606.17,,57,69,74,3606.17,,57,69,75,3606.17,,57,69,23,3305.65,,57,69,58,3305.65,,57,69,0,3305.65,
