        Date        , GPU Core Clock [MHz] , GPU Memory Clock [MHz] , GPU Temperature [°C] , GPU Load [%] , Memory Controller Load [%] , Video Engine Load [%] , Bus Interface Load [%] , Memory Usage (Dedicated) [MB] , Memory Usage (Dynamic) [MB] , PerfCap Reason [] , VDDC [V] ,
2016-02-27 08:28:35 ,              936.6   ,                800.0   ,               69.0   ,         99   ,                       84   ,                   0   ,                    9   ,                         223   ,                        38   ,               0   , 1.1000   ,
2016-02-27 08:28:36 ,              936.6   ,                800.0   ,               70.0   ,         99   ,                       84   ,                   0   ,                    9   ,                         223   ,                        38   ,               0   , 1.1000   ,
2016-02-27 08:28:37 ,              936.6   ,                800.0   ,               69.0   ,         99   ,                       84   ,                   0   ,                   10   ,                         223   ,                        38   ,               0   , 1.1000   ,
2016-02-27 08:28:38 ,              936.6   ,                800.0   ,               70.0   ,         99   ,                       84   ,                   0   ,                   10   ,                         223   ,                        38   ,               0   , 1.1000   ,
2016-02-27 08:28:39 ,              936.6   ,                800.0   ,               71.0   ,         99   ,                       84   ,                   0   ,                    9   ,                         223   ,                        38   ,               0   , 1.1000   ,
2016-02-27 08:28:40 ,              936.6   ,                800.0   ,               71.0   ,         99   ,                       84   ,                   0   ,                    9   ,                         223   ,                        38   ,               0   , 1.1000   ,
2016-02-27 08:28:41 ,              936.6   ,                800.0   ,               71.0   ,         99   ,                       84   ,                   0   ,                    9   ,                         223   ,                        38   ,               0   , 1.1000   ,
2016-02-27 08:28:42 ,              936.6   ,                800.0   ,               72.0   ,         99   ,                       84   ,                   0   ,                    9   ,                         223   ,                        38   ,               0   , 1.1000   ,
2016-02-27 08:28:43 ,              936.6   ,                800.0   ,               73.0   ,         99   ,                       84   ,                   0   ,                    9   ,                         223   ,                        38   ,               0   , 1.1000   ,
2016-02-27 08:28:44 ,              936.6   ,                800.0   ,               74.0   ,         99   ,                       84   ,                   0   ,                    9   ,                         223   ,                        38   ,               0   , 1.1000   ,
2016-02-27 08:28:45 ,              936.6   ,                800.0   ,               74.0   ,         99   ,                       84   ,                   0   ,                    9   ,                         223   ,                        38   ,               0   , 1.1000   ,
2016-02-27 08:28:46 ,              936.6   ,                800.0   ,               74.0   ,         99   ,                       84   ,                   0   ,                    9   ,                         223   ,                        38   ,               0   , 1.1000   ,
2016-02-27 08:28:47 ,              936.6   ,                800.0   ,               74.0   ,         99   ,                       84   ,                   0   ,                    9   ,                         223   ,                        39   ,               0   , 1.1000   ,
2016-02-27 08:28:48 ,              936.6   ,                800.0   ,               75.0   ,         99   ,                       84   ,                   0   ,                    9   ,                         223   ,                        37   ,               0   , 1.1000   ,
2016-02-27 08:28:49 ,              936.6   ,                800.0   ,               75.0   ,         99   ,                       84   ,                   0   ,                    9   ,                         223   ,                        37   ,               0   , 1.1000   ,
2016-02-27 08:28:50 ,              936.6   ,                800.0   ,               76.0   ,         99   ,                       84   ,                   0   ,                    9   ,                         223   ,                        37   ,               0   , 1.1000   ,
2016-02-27 08:28:51 ,              936.6   ,                800.0   ,               75.0   ,         99   ,                       84   ,                   0   ,                    9   ,                         223   ,                        37   ,               0   , 1.1000   ,
2016-02-27 08:28:52 ,              936.6   ,                800.0   ,               75.0   ,         99   ,                       84   ,                   0   ,                    9   ,                         223   ,                        37   ,               0   , 1.1000   ,
2016-02-27 08:28:53 ,              936.6   ,                800.0   ,               75.0   ,         99   ,                       84   ,                   0   ,                    9   ,                         223   ,                        37   ,               0   , 1.1000   ,
2016-02-27 08:28:54 ,              936.6   ,                800.0   ,               76.0   ,         99   ,                       84   ,                   0   ,                   10   ,                         223   ,                        37   ,               0   , 1.1000   ,
2016-02-27 08:28:55 ,              936.6   ,                800.0   ,               76.0   ,         99   ,                       84   ,                   0   ,                    9   ,                         223   ,                        37   ,               0   , 1.1000   ,
2016-02-27 08:28:56 ,              936.6   ,                800.0   ,               76.0   ,         99   ,                       84   ,                   0   ,                    9   ,                         223   ,                        37   ,               0   , 1.1000   ,
2016-02-27 08:28:57 ,              936.6   ,                800.0   ,               76.0   ,         99   ,                       84   ,                   0   ,                    9   ,                         223   ,                        37   ,               0   , 1.1000   ,
2016-02-27 08:28:58 ,              936.6   ,                800.0   ,               77.0   ,         99   ,                       84   ,                   0   ,                    9   ,                         223   ,                        37   ,               0   , 1.1000   ,
